figure_id,stem,tier,title,manuscript_role,source_artifacts,formats
Figure 14,fig14_heldout_test_performance,supplement,Held-out-test performance,Secondary held-out-test results,heldout_test_summary.csv,figures/fig14_heldout_test_performance.png; figures/fig14_heldout_test_performance.pdf
Figure 15,fig15_heldout_test_confusion,supplement,Held-out-test confusion matrices,Secondary held-out-test results,heldout_test_summary.csv,figures/fig15_heldout_test_confusion.png; figures/fig15_heldout_test_confusion.pdf
Figure 16,fig16_calibration_curves,main,Calibration curves by partition,Calibration evidence,calibration_curve_points.csv; calibration_by_partition.csv,figures/fig16_calibration_curves.png; figures/fig16_calibration_curves.svg; figures/fig16_calibration_curves.pdf
Figure 17,fig17_recalibration_tradeoff,supplement,Recalibration performance trade-off,Calibration/remediation evidence,recalibration_comparison.csv,figures/fig17_recalibration_tradeoff.png; figures/fig17_recalibration_tradeoff.pdf
Figure 18a,fig18a_split_seed_recall,supplement,Split-seed sensitivity: Recall,Secondary stability evidence,split_seed_metrics.csv; effect_size_and_ci.csv,figures/fig18a_split_seed_recall.png; figures/fig18a_split_seed_recall.pdf
Figure 18b,fig18b_split_seed_f2,supplement,Split-seed sensitivity: F2 score,Secondary stability evidence,split_seed_metrics.csv; effect_size_and_ci.csv,figures/fig18b_split_seed_f2.png; figures/fig18b_split_seed_f2.pdf
Figure 18c,fig18c_split_seed_average_precision,supplement,Split-seed sensitivity: Average precision,Secondary stability evidence,split_seed_metrics.csv; effect_size_and_ci.csv,figures/fig18c_split_seed_average_precision.png; figures/fig18c_split_seed_average_precision.pdf
Figure 18d,fig18d_split_seed_auc_roc,supplement,Split-seed sensitivity: ROC AUC,Secondary stability evidence,split_seed_metrics.csv; effect_size_and_ci.csv,figures/fig18d_split_seed_auc_roc.png; figures/fig18d_split_seed_auc_roc.pdf
Figure 19a,fig19a_balance_by_k_recall,main,Recall by context balance and ensemble size,Mechanism evidence,two_factor_ablation_summary.csv; two_factor_ablation.csv,figures/fig19a_balance_by_k_recall.png; figures/fig19a_balance_by_k_recall.svg; figures/fig19a_balance_by_k_recall.pdf
Figure 19b,fig19b_balance_by_k_calibration,main,Calibration by context balance and ensemble size,Mechanism and calibration evidence,two_factor_ablation_summary.csv; two_factor_ablation.csv,figures/fig19b_balance_by_k_calibration.png; figures/fig19b_balance_by_k_calibration.svg; figures/fig19b_balance_by_k_calibration.pdf
Figure 20a,fig20a_balance_ratio_recall,supplement,Recall sensitivity to balanced-context composition,Context-composition sensitivity,balance_ratio_sensitivity_summary.csv; balance_ratio_sensitivity.csv,figures/fig20a_balance_ratio_recall.png; figures/fig20a_balance_ratio_recall.pdf
Figure 20b,fig20b_balance_ratio_calibration,supplement,Calibration sensitivity to balanced-context composition,Mechanism/remediation evidence,balance_ratio_sensitivity_summary.csv; balance_ratio_sensitivity.csv,figures/fig20b_balance_ratio_calibration.png; figures/fig20b_balance_ratio_calibration.pdf
Figure 21a,fig21a_review_workload,main,Illustrative staff time for referral review,Administrator-facing workload scenarios,operational_tradeoff.csv,figures/fig21a_review_workload.png; figures/fig21a_review_workload.svg; figures/fig21a_review_workload.pdf
Figure 21b,fig21b_referral_composition,main,Referral outcomes at the prespecified threshold,Administrator-facing referral consequences,operational_tradeoff.csv,figures/fig21b_referral_composition.png; figures/fig21b_referral_composition.svg; figures/fig21b_referral_composition.pdf
Figure 22a,fig22a_equal_opportunity_nested_development_oof,main,Development out-of-fold equal-opportunity differences,RQ3 fairness assessment,fairness_equal_opportunity.csv,figures/fig22a_equal_opportunity_nested_development_oof.png; figures/fig22a_equal_opportunity_nested_development_oof.svg; figures/fig22a_equal_opportunity_nested_development_oof.pdf
Figure 22b,fig22b_equal_opportunity_held_out_test,main,Held-out test equal-opportunity differences,RQ3 fairness assessment,fairness_equal_opportunity.csv,figures/fig22b_equal_opportunity_held_out_test.png; figures/fig22b_equal_opportunity_held_out_test.svg; figures/fig22b_equal_opportunity_held_out_test.pdf
Figure 22c,fig22c_subgroup_recall,main,B-TabPFN subgroup recall with uncertainty,RQ3 subgroup uncertainty,fairness_subgroups.csv,figures/fig22c_subgroup_recall.png; figures/fig22c_subgroup_recall.svg; figures/fig22c_subgroup_recall.pdf
Figure 23a,fig23a_internet_recall,supplement,Internet-access subgroup sensitivity: Recall,Contextual sensitivity evidence,internet_access_observed_subgroups.csv; internet_access_perturbation_summary.csv,figures/fig23a_internet_recall.png; figures/fig23a_internet_recall.pdf
Figure 23b,fig23b_internet_f2,supplement,Internet-access subgroup sensitivity: F2 score,Contextual sensitivity evidence,internet_access_observed_subgroups.csv; internet_access_perturbation_summary.csv,figures/fig23b_internet_f2.png; figures/fig23b_internet_f2.pdf
Figure 23c,fig23c_internet_average_precision,supplement,Internet-access subgroup sensitivity: Average precision,Contextual sensitivity evidence,internet_access_observed_subgroups.csv; internet_access_perturbation_summary.csv,figures/fig23c_internet_average_precision.png; figures/fig23c_internet_average_precision.pdf
Figure 24,fig24_fsii_main_effects,main,Aggregate FSII main effects,RQ2 explainability,fsii_main_effects_summary.csv,figures/fig24_fsii_main_effects.png; figures/fig24_fsii_main_effects.svg; figures/fig24_fsii_main_effects.pdf
Figure 25,fig25_fsii_interactions,main,Aggregate signed pairwise FSII,RQ2 explainability,fsii_population_summary.csv; fsii_btabpfn_interaction_matrix.csv,figures/fig25_fsii_interactions.png; figures/fig25_fsii_interactions.svg; figures/fig25_fsii_interactions.pdf
Figure 26,fig26_theory_attribution_shift,supplement,No-distress attribution-shift sensitivity,Theory-redirection evidence,theory_attribution_sensitivity.csv,figures/fig26_theory_attribution_shift.png; figures/fig26_theory_attribution_shift.pdf
Figure 27,fig27_uci_robustness,main,UCI robustness benchmark,External algorithmic robustness,uci_summary.csv; uci_seed_metrics.csv; uci_protocol.json,figures/fig27_uci_robustness.png; figures/fig27_uci_robustness.svg; figures/fig27_uci_robustness.pdf
Figure 28,fig28_inference_latency,internal,Inference latency,Implementation/practicality,inference_latency.csv,figures/fig28_inference_latency.png
Figure 29,fig29_false_negative_profile,supplement,Aggregate false-negative profile,Error analysis,false_negative_profile_summary.csv,figures/fig29_false_negative_profile.png; figures/fig29_false_negative_profile.pdf
Figure 30,fig30_feature_distributions,internal,Predictor distributions,Descriptive results,feature_distribution_counts.csv; descriptive_feature_statistics.csv,figures/fig30_feature_distributions.png
Figure 31,fig31_outcome_definitions,supplement,Outcome-definition counts,Construct sensitivity,outcome_definition_counts.csv; serious_only_outcome_sensitivity.csv,figures/fig31_outcome_definitions.png; figures/fig31_outcome_definitions.pdf
Figure 32,fig32_score_distributions,internal,Held-out-test score distributions,Calibration diagnosis,score_distribution_bins.csv,figures/fig32_score_distributions.png
Figure 44,fig44_population_gender_comparison,supplement,Gender composition of the survey sample and KNUST undergraduate population,Sampling and generalisability,population_gender_comparison.csv; qapo_population_source_metadata.json,figures/fig44_population_gender_comparison.png; figures/fig44_population_gender_comparison.pdf
Figure 45,fig45_population_college_comparison,supplement,College composition of the survey sample and KNUST undergraduate population,Sampling and generalisability,population_college_comparison.csv; population_comparison_unmatched_categories.csv; qapo_population_source_metadata.json,figures/fig45_population_college_comparison.png; figures/fig45_population_college_comparison.pdf
